button.quit|Quit
textArea.importAll.checkingImages|Checking images
textArea.importAll.accessDeniedError|Unable to search folder for .toml files, access denied
textArea.importAll.contentWrongConstructed|Critical error: Content is not constructed correctly
textArea.importAll.errorConstructingContent|Error while constructing content named %s of type %s.\n\nWould you like to continue the content construction anyway?\n\nWarning: Doing so might result in problems!
textArea.unzip.firstPart|Preparing to unzip folder
textArea.unzip.secondPart|Indexing files to unzip: This might take a while
textArea.unzip.thirdPart|to
textArea.unzip.unzippedFile|File unzipped:
textArea.unzip.startingUnzip.firstPart|Indexing completed after
textArea.unzip.startingUnzip.secondPart|Beginning to extract files
textArea.downloadZip.downloadSuccess|Zip file has been downloaded and saved successfully:
textArea.added|Added:
textArea.removed|Removed:
textArea.addCompanyIcon.success|Company logo added.
textArea.addCompanyIcon.error|Company Logo was not added:
textArea.restorePoint.startingRestorePoint|Creating restore point
textArea.restorePoint.restorePointNotCreatedAlreadyExists|Restore point was not created because a restore point already exists
textArea.restorePoint.errorWhileMoving|There was a problem moving the old restore point files to the storage folder. The restore point has not been created!
textArea.restorePoint.restoreToRestorePoint|Restoring to restore point
textArea.restorePoint.notAllModsRemoved|Something went wrong while uninstalling mods, however this should not necessarily impact the uninstall process:
textArea.restorePoint.restoreSuccessful|Restoration complete: All mods have been restored to the restore point. Took: %s seconds!
textArea.restorePoint.canceled|The restoring process has been canceled
textArea.backup.createBackup.success|Backup has been created:
textArea.backup.restoringBackup|Restoring backup
textArea.movingFile|Moving file:
textArea.modProcessingException.firstPart|Error in thread:
textArea.modProcessingException.secondPart|The process has been terminated!
textArea.modProcessingException.thirdPart|Stacktrace:
textArea.export.all_single.started|Beginning to export mods into separate files
textArea.export_compact.writing_toml|Writing toml file
textArea.export.starting|Beginning to export all mods
textArea.export.creatingExportMap|Creating export map
textArea.export.addingEntry|Adding entry to map
textArea.export.exportingImage|Exporting image
textArea.export.imageNotExported|WARNING: The following picture was not copied because it already exists in the export folder
textArea.export.warningExportMapNotChangedProperly|WARNING: The export map was not changed successfully, the export may be faulty. Reason
textArea.runningAlphaVersion.1|Thank you for testing this alpha version
textArea.runningAlphaVersion.2|Please report problems that occur on the Github page (Utilities -> Open Github page)
textArea.runningAlphaVersion.3|The configuration files for this version will be saved in
textArea.constructingContents.duration|Content construction took %.2f seconds!
textArea.copyingImages|Copying images for content %s
textArea.deletingImages|Deleting images for content %s
textArea.addedAllContents|All content (%d) of type %s has been successfully added to the .txt file after %s seconds!
textArea.removedAllContents|All content (%d) of type %s has been successfully removed from .txt file after %s seconds!
textArea.totalDuration|Total duration: %s seconds
textArea.gameFileIntegrityCheckSuccessful|Game files integrity check successful!

publisherHelper.replaceWithRealPublishers.mainMessage|<html>Are you sure that you would like to replace the<br>existing publishers with the real life equivalents?<br><br>The real publishers will have to be downloaded<br>first so a internet connection is required.<br><br>When continuing the publisher file is reorganized.<br>Loading an existing save game or reverting the changes<br>might result in problems when loading save games.<br><br>Note:<br>The company logos have been taken from the<br>Real Publisher Names & Icons v0.2 guide from Steam.<br><br>Click okay to continue.
publisherHelper.replaceWithRealPublishers.zipFileAlreadyExists|<html>The real publisher download files already exist.<br><br>Do you want to download the files again?
publisherHelper.replaceWithRealPublishers.success|<html>All existing publishers have been replaced<br>with the real live equivalent.
publisherHelper.replaceWithRealPublishers.somethingWentWrong|<html>Something went wrong:<br><br>Exception:

settings.settingsSaved|Settings saved.
settings.mgt2FolderSetAutomatically|<html>Mad Games Tycoon 2 Folder has been set automatically.<br><br>Location:<br>
settings.mgt2FolderSetAutomatically.windowTitle|Folder detected automatically
settings.mgt2FolderNotFound|<html>The Mad Games Tycoon folder could not be detected.<br><br>Please go into the settings, select "Manual" as file folder and choose the path to the "Mad Games Tycoon 2.exe" file."
settings.notFound|Not found

translationManager.enterTranslationFor|Enter the translation for
translationManager.addTranslation|Add translation
translationManager.translationsAdded|Translations added
translationManager.canceled|The translation process has been canceled.
translationManager.followingTranslationsAdded|The following translations have been added:

window.main.tile|MGT2 Mod Tool
window.main.file|File
window.main.file.settings|Settings
window.main.file.updateCheck|Check for updates
window.main.file.uninstall|Uninstall
window.main.file.uninstall.toolTip|<html>Includes options with which all mod manager files<br> can be removed and all changes to the game files can be reverted.
window.main.file.about|About
window.main.mods|Mods
window.main.mods.import|Import
window.main.mods.import.importFromFileSystem|Import from file system
window.main.mods.import.importFromURL|Import from URL
window.main.mods.import.importFromFileSystem.toolTip|<html>Click to select folders where your import files are located.<br>The selected folders and its subfolders are scanned for imports.<br>When the folders are scanned a summary is shown of what can be imported.
window.main.mods.import.importFromURL.toolTip|<html>Opens a page where you can enter a URL to a .zip archive.<br>The archive is then downloaded, extracted and searched for mods.<br>A summary is then shown where you can select what entries should be imported.
window.main.mods.import.getMoreMods|Get more mods
window.main.mods.import.getMoreMods.toolTip|Click here to open a website where you can get more mods.
window.main.mods.import.getMoreMods.confirmDialog|Open the page where you can get more mods?
window.main.mods.import.getMoreMods.confirmDialog.title|Open page?
window.main.mods.themes.changeGenreThemeFit|Edit genre/theme fit
window.main.mods.themes.changeGenreThemeFit.toolTip|Click here to edit the genre/theme fit
window.main.mods.npcGamesList|NPC_Games_List
window.main.mods.npcGamesList.toolTip|Click to add a genre id to the NPC_Games_list.
window.main.mods.addCompanyIcon|Add company icon
window.main.mods.showActiveMods|Show active mods
window.main.mods.showActiveMods.toolTip|Click to show which mods are currently active
window.main.share|Share
window.main.share.export|Export
window.main.share.export.genre|Genre
window.main.share.export.publisher|Publisher
window.main.share.export.theme|Theme
window.main.share.export.exportAll|Export all
window.main.share.export.exportAll.toolTip|Click to export all mods that have been added to the game
window.main.share.export.exportSelected|Export selected
window.main.share.export.exportSelected.toolTip|Click to open a window where you can select what should be exported
window.main.share.openExportFolder|Open export folder
window.main.share.deleteAllExport|Delete all exports
window.main.backup|Backup
window.main.backup.createBackup|Create backup
window.main.backup.createBackup.createNewInitialBackup|Create new initial backup
window.main.backup.createBackup.createNewInitialBackup.toolTip|<html>Click to create a new initial backup<br>This is useful when the game has been updated so that the old backup files will not overwrite the game update
window.main.backup.createBackup.createFullBackup|Create full backup
window.main.backup.createBackup.createFullBackup.toolTip|Click to create a backup from the files that could be modified with this tool.
window.main.backup.createBackup.createSaveGameBackup|Backup save games
window.main.backup.restoreBackup|Restore backup
window.main.backup.restoreBackup.restoreInitialBackup|Restore initial backup
window.main.backup.restoreBackup.restoreInitialBackup.toolTip|<html>Click to restore the initial backup that has been created when the mod tool was started for the first time.<br>Your save game backups will not be restored.
window.main.backup.restoreBackup.restoreLatestBackup|Restore latest backup
window.main.backup.restoreBackup.restoreLatestBackup.toolTip|<html>Click to restore the latest backup that has been created.<br>Your save game backups will not be restored.
window.main.backup.restoreBackup.restoreSaveGameBackup|Restore save game backup
window.main.backup.restoreBackup.restoreSaveGameBackup.toolTip|Click to select a save game for which the backup should be restored.
window.main.backup.modRestorePoint|Mod restore point
window.main.backup.modRestorePoint.createModRestorePoint|Create mod restore point
window.main.backup.modRestorePoint.createModRestorePoint.toolTip|<html>Click to create a mod restore point<br>When a restore point is set you will be able to restore all your currently installed mods later.<br>Useful when the game has been updated and the mods are lost.
window.main.backup.modRestorePoint.restoreModRestorePoint|Restore mod restore point
window.main.backup.modRestorePoint.restoreModRestorePoint.toolTip|<html>Click to restore all currently installed mods to the restore point that has been set previously
window.main.backup.modRestorePoint.restoreModRestorePoint.notAvailableToolTip|<html>To restore the restore point it has to be set first!
window.main.backup.deleteAllBackups|Delete all backups
window.main.backup.deleteAllBackups.toolTip|Click to delete all backups that have been created.
window.main.backup.openBackupFolder|Open backup folder
window.main.backup.openBackupFolder.toolTip|<html>Click to open the backup folder.<br>All backups that have been created are located here.<br>Use this if you do want to restore a backup manually.
window.main.utilities|Utilities
window.main.utilities.openGithubPage|Open Github page
window.main.utilities.openMGT2Folder|Open MGT2 folder
window.main.utilities.openSaveGameFolder|Open save game folder
window.main.utilities.openSaveGameFolder.toolTip|Click to open the folder where the save games are stored
window.main.utilities.openSettingsTomlFile|Open settings.toml file
window.main.utilities.openSettingsTomlFile.toolTip|<html>Click here to open the Settings.toml file<br>This file contains all settings, including those<br>that cannot be changed via the settings window.<br>Please be careful when editing the file!
window.main.utilities.reanalyzeGameFiles|Reanalyze game files
window.main.utilities.reanalyzeGameFiles.toolTip|Click to reanalyze the game files
window.main.actionAvailability.acceptMessageFirst|Disabled -> Accept that you have read the popup message first!
window.main.actionAvailability.noToExportAvailable|Disabled -> Nothing to export available
window.main.actionAvailability.exportAvailable|Click to export all publishers and genres that have been added
window.main.actionAvailability.notAvailableToCreateRestorePoint|Disabled -> No mods added for which a restore point could be created
window.main.lockMenuItems|Disabled -> A task is currently executed
window.main.button.quit.taskPerformed|<html>A task is in progress,<br>are you sure you want to exit the program?<br>The current task will then be canceled, this could lead to problems.
window.main.button.quit.taskPerformed.title|Exit program?
window.main.mgt2FolderNotFound.toolTip|Disabled -> The mad games tycoon 2 folder is not set. Go into settings and select the folder manually.
window.main.reanalyzeGameFiles|<html>Are you sure,<br>that you want to re-analyze the game files?

window.importFromURL.labelText|<html>Enter the URL to the .zip archive below.<br>Note: This has to be a direct download link.
window.importFromURL.textFieldURL.toolTip|Enter the URL to the .zip archive
window.importFromURL.dialog.title|Import from URL
window.importFromURL.error.body|Unable to import from URL!

window.uninstall.labelDescription|<html>Select what should be removed<br>If configuration files are removed,<br>the program will be closed after all files have been uninstalled.
window.uninstall.checkBoxDeleteBackups|Delete Backups
window.uninstall.checkBoxDeleteBackups.toolTip|Check to delete all backups upon uninstalling
window.uninstall.checkBoxRevertAllMods|Revert all mods
window.uninstall.checkBoxRevertAllMods.toolTip|Check to revert all mods upon uninstalling
window.uninstall.checkBoxDeleteConfigFiles|Delete config files
window.uninstall.checkBoxDeleteConfigFiles.toolTip|Check to delete the config file.
window.uninstall.checkBoxDeleteExports|Delete Exports
window.uninstall.checkBoxDeleteExports.toolTip|Check to delete all exports
window.uninstall.title|Uninstall
window.uninstall.nothingSelected|Please select at least one thing that should be uninstalled
window.uninstall.nothingSelected.title|Unable to uninstall
window.uninstall.confirmMessage.firstPart|<html>Warning!<br>Are you sure that you want to do the following:
window.uninstall.confirmMessage.secondPart|This can't be reverted!
window.uninstall.confirmMessage.title|Confirm uninstall
window.uninstall.uninstallIncomplete|There was a problem while uninstalling:
window.uninstall.uninstallIncomplete.question|Should a new initial backup be created anyway?
window.uninstall.uninstallIncomplete.title|Uninstalling incomplete
window.uninstall.uninstallSuccessful|Your selected files have been uninstalled successfully!
window.uninstall.uninstallSuccessful.title|Uninstalling successful
window.uninstall.exports.message|Are you sure that you want to delete all exports?
window.uninstall.exports.success|All exports have been deleted.

window.settings.button.back.toolTip|Click to get to the main page
window.settings.button.resetSettings.label|Reset Settings
window.settings.button.resetSettings.toolTip|Click to reset the settings to default values.
window.settings.button.resetSettings.restored|Settings have been restored to default.
window.settings.button.save.label|Save
window.settings.button.save.toolTip|Click to save the current settings.
window.settings.button.save.saveSettings|Save the following settings?
window.settings.button.save.saveSettings.title|Unsaved changes
window.settings.button.save.nothingToSave|There are no unsaved changes.
window.settings.changesInSettings.debugLogging|Enable debug logging:
window.settings.changesInSettings.mgt2Folder|Mad Games Tycoon folder:
window.settings.changesInSettings.language|Language:
window.settings.changesInSettings.updateChannel|Update channel:
window.settings.changesInSettings.saveLogs|Save logs:
window.settings.changesInSettings.exportStorage|Enable export storage:
window.settings.changesInSettings.safetyFeatures|Safety features
window.settings.safetyFeatures.configureButton|Configure safety features
window.settings.safetyFeatures.configureButton.toolTip|Click to configure the safety features
window.settings.safetyFeatures.configure.label|<html>Here you can configure the safety features.<br>Hover over the checkboxes to get more information.
window.settings.safetyFeatures.configure.warning|<html>Warning: Changes to these settings may cause problems,<br>change the settings at your own risk!
window.settings.safetyFeatures.configure.frame.title|Configure safety features
window.settings.changesNotSaved.part1|You have made changes that have not been saved:
window.settings.changesNotSaved.part2|Do you want to save them?
window.settings.changesNotSaved.title|Unsaved changes
window.settings.debugMode.checkBoxText|Enable debug logging
window.settings.debugMode.checkBoxToolTip|Check this box to enable debug logging when opening this jar with the console.
window.settings.language.label|Language:
window.settings.language.comboBox.toolTip|<html>Select what language the ui should use<br>Translations can be incorrect and / or incomplete.<br>It can also happen that the labels of buttons etc. are not displayed correctly.
window.settings.language.informationMessage|To apply the language please save the settings and restart the program.
window.settings.language.informationMessageTranslationIncomplete|<html>Note:<br>Translations can be incorrect and / or incomplete.<br>It can also happen that the labels of buttons etc. are not displayed correctly.
window.settings.mgt2location.label|MGT2 Folder:
window.settings.mgt2location.toolTip|<html>[Automatic]: The folder will be selected automatically<br>[Manual]: Use a custom path.<br>Current path:
window.settings.mgt2location.toolTip.notSet|Not set
window.settings.mgt2location.chooseFolder.title|Choose "Mad Games Tycoon 2" main folder:
window.settings.mgt2location.chooseFolder.folderSet|Folder set.
window.settings.mgt2location.chooseFolder.folderInvalid.title|Folder not set
window.settings.mgt2location.chooseFolder.folderInvalid|<html>Folder is invalid:<br>Folder does not contain Mad Games Tycoon 2.exe<br>Using automatic folder.
window.settings.mgt2location.resetFolder|Reset custom folder and use automatic folder?
window.settings.mgt2location.resetFolder.title|Reset?
window.settings.mgt2location.resetFolder.noAutomaticFolderFound|<html>The search for the mgt2 folder was unsuccessful.<br>This will also reset your custom folder.<br>Are you sure that you would like to reset the mgt2 folder?
window.settings.mgt2location.automaticSelected.folderNotFound|<html>The search for the mgt2 folder was unsuccessful.<br>The manual folder will still be used.
window.settings.reset.label|Reset
window.settings.reset.button.toolTip|<html>Click to reset the custom folder.<br>This will restore the default folder.
window.settings.updateChannel.label|Update channel:
window.settings.updateChannel.toolTip|<html>Select what channel should be searched for updates when the tool searches for updates<br>Alpha: Select to receive notifications when a new alpha version is available<br>Release: Select this, when you only want to be notified when a new release version is available
window.settings.updateChannel.disabled|<html>Disabled: Can not change to release channel because the current running mod tool version is alpha
window.settings.windowTitle|Settings
window.settings.checkBox.saveLogs|Save logs
window.settings.checkBox.saveLogs.toolTip|<html>Check this box to save all logs.<br>If disabled only the last log is saved.
window.settings.exportStorage.checkBoxText|Store exports
window.settings.exportStorage.checkBoxText.toolTip|If deactivated, exports are no longer saved but overwritten

window.npcGamesList.title|Modify NPC games list
window.npcGamesList.label|<html>Select what genre should be added/removed from the npc games list.<br>When your genre is listed on the npc games list, npc companies will be able to create games with the selected genre.
window.npcGamesList.label.chance|Probability:
window.npcGamesList.label.operation|Operation:
window.npcGamesList.label.genre|Choose what genres should be used:
window.npcGamesList.spinner.chance.toolTip|<html>Determines the chance at which the genre id should be added<br>100 = 100% chance.
window.npcGamesList.comboBox.operation.toolTip|<html>Add = Adds said genre id to the list<br>Remove = Removes the genre id from the list
window.npcGamesList.comboBox.operation.value_1|Add
window.npcGamesList.comboBox.operation.value_2|Remove
window.npcGamesList.added|added
window.npcGamesList.removed|removed
window.npcGamesList.to|to
window.npcGamesList.from|from
window.npcGamesList.confirmDialog.1|The following genre(s) will be
window.npcGamesList.confirmDialog.2|the NPC games list.
window.npcGamesList.confirmDialog.title|Modify NPC games list?
window.npcGamesList.errorOccurred|Something went wrong while modifying npc games list
window.npcGamesList.success|The NPC games list was modified successfully.
window.npcGamesList.noGenreSelected|<html>Unable to continue:<br>Please select at least one genre.

window.showActiveMods.message.firstPart|These mods are currently active:

verifyContentIntegrity.variation1|The integrity of game file %s is not valid. Reason: The id %d of %s of type %s is already used by %s.
verifyContentIntegrity.variation2|The integrity of game file %s is not valid. Reason: The [%s] tag of %s of type %s is missing.
verifyContentIntegrity.variation3|The integrity of game file %s is not valid. Reason: The [%s] tag of %s of type %s is not a number. Value was: %s.
verifyContentIntegrity.variation4|The integrity of game file %s is not valid. Reason: The [%s] tag of %s of type %s is not empty. Value was: %s.
verifyContentIntegrity.variation5|The integrity of game file %s is not valid. Reason: The [%s] tag of %s of type %s is not an boolean. Value was: %s. Should be true or false.
verifyContentIntegrity.variation6|The integrity of game file %s is not valid. Reason: The [%s] tag of %s of type %s can not be converted to an integer list. Reason: %s.

verifyContentIntegrity.licenceInvalid.tagMissing|The integrity of game file Licence.txt is invalid. Reason: The license named %s does not contain a type tag.
verifyContentIntegrity.licenceInvalid.tooManyTags|The integrity of game file Licence.txt is invalid. Reason: The license named %s contains more than one type tag.

verifyContentIntegrity.npcGameInvalid.formatInvalid|The integrity of game file NpcGames.txt is invalid. Reason: The npc game named %s contains invalid genre ids: %s.
verifyContentIntegrity.npcGameInvalid.noGenreIds|The integrity of game file NpcGames.txt is invalid. Reason: The npc game named %s does not contain genre ids.

verifyContentIntegrity.npcIpInvalid.formatInvalid|The integrity of game file NpcIps.txt is invalid. Reason: NpcIP %s is missing one of the tags P, G, T, Y or TG.
verifyContentIntegrity.npcIpInvalid.invalidNumber|The integrity of game file NpcIps.txt is invalid. Reason: For the NpcIP %s one of the tags is not a number: %s.
verifyContentIntegrity.npcIpInvalid.unknownError|The integrity of game file NpcIps.txt is invalid. Reason: An unknown error occurred during parsing: %s.

verifyContentIntegrity.themeInvalid.formatInvalid|The integrity of game file Themes_GE.txt is invalid. Reason: The theme named %s contains invalid genre ids: %s.
verifyContentIntegrity.themeInvalid.noGenreIds|The integrity of game file Themes_GE.txt is invalid. Reason: The theme named %s does not contain genre ids.

verifyContentIntegrity.pictureNotFound|The integrity of game file %s is invalid. Reason: The picture of %s with name %s named %s does not exist in the designated folder: %s.

verifyContentIntegrity.typeInvalid|The integrity of game file %s is invalid. Reason: the id for the %s named %s is invalid: %s

verifyContentIntegrity.genreInvalid.targetGroupInvalid.variation1|The integrity of game file %s is invalid. Reason: The target group of the %s named %s is empty.
verifyContentIntegrity.genreInvalid.targetGroupInvalid.variation2|The integrity of game file %s is invalid. Reason: The target group of the %s named %s is invalid: %s.

safetyFeatures.unlockSpinners|Unlock spinners
safetyFeatures.unlockSpinners.toolTip|Enable to unlock all spinners and disable the maximum values

safetyFeatures.disablePlatformPictureLimit|Disable platform picture limit
safetyFeatures.disablePlatformPictureLimit.toolTip|<html>Currently only two images per platform are supported,<br>so currently no more than two images can be added.<br>If this option is enabled, more images can be added,<br> although this is not supported by the game.

safetyFeatures.disableGameFileIntegrityCheck|Disable game file integrity check
safetyFeatures.disableGameFileIntegrityCheck.toolTip|<html>If this option is enabled,<br>the game file integrity check at startup will be skipped.

safetyFeatures.includeOriginalContentsInLists|Include original contents in lists
safetyFeatures.includeOriginalContentsInLists.toolTip|<html>If this option is enabled,<br>the original contents of the game files will be included in the lists.<br>This can be used to remove or export content that belongs to the game.<br>In addition, the original content is also exported when all content is exported.

safetyFeatures.skipAssetsFolderCheck|Skip assets folder check
safetyFeatures.skipAssetsFolderCheck.toolTip|<html>If this option is enabled,<br>the check for the existence of the assets folder<br>will be skipped when importing contents.

safetyFeatures.disableBackupSecurityMechanisms|Disable backup security mechanisms
safetyFeatures.disableBackupSecurityMechanisms.toolTip|<html>If this option is enabled,<br>the initial backups will also be deleted when backups are deleted.<br>When enabled, there will be a new menu entry with which all backups can be deleted.<br>When enabled, it is also possible to restore the latest backup.

month.january|January
month.february|February
month.march|March
month.april|April
month.may|May
month.june|June
month.july|July
month.august|August
month.september|September
month.october|October
month.november|November
month.december|December
